a	一个 每一个
abandon	遗弃 放弃 放纵自己
ability	能力 才能
able	有的能力 有本事的 能干的
aboard	在船飞机、车上 上船飞机
about	周围 大约 关于 到处 忙于
above	高于 在…之上 上述的 在上面
abroad	在国外 在海外
absence	缺席 缺乏 缺少
absent	缺席的 缺乏的 不在意的 茫然的
absolute	绝对的 完全的 确实的 肯定的
absorb	吸收 使全神贯注
abstract	抽象的 不具体的 摘要 提要
abundant	丰富的 充裕的
abuse	滥用 辱骂 虐待
academic	学院的 大学的 学术性的 理论的
academy	高等专科院校 学术社团 协会 研究院
accelerate	使加速 促进
accent	口音 音调 重音符号 重读
accept	认可 接受 相信 同意
acceptance	接受 承认 认可
access	接近 进入 从电脑中存取信息
accident	事故 意外 偶然之事
accidental	意外的 偶然发生的
accommodation	住处 膳宿
accompany	陪伴 陪同 为…伴奏
accomplish	完成 实现 成就
accord	给予 允准 使一致
accordance	一致 符合
accordingly	相应地 照着办 按照 于是 因此
account	帐目 报告 帐户 说明 报账
accountant	会计 出纳
accumulate	积累 积聚 堆积 积蓄
accuracy	准确 精确
accurate	准确的 精确的 正确无误的
accuse	谴责 指控
accustomed	 习惯了的
ache	疼 疼痛 持续的隐隐作痛
achieve	完成 达到目的
achievement	成绩 成就 完成 达到
acid	酸的 酸性的 酸
acknowledge	承认 对某人所做的事表示感谢
acquaintance	认识 了解 熟人 相识的人
acquire	获得 取得 学到知识等 养成习惯
acquisition	获得物
acre	英亩
across	横过 在…的对面 横过 在另一边
act	行动 起作用 扮演 行为 法令
action	活动 行为 作用
active	有活力的 积极的 主动的
activity	活动 行动
actor	演员 男演员 行动者
actress	女演员
actual	实际的 现实的 真实的 目前的
acute	剧烈的 敏锐的 成锐角的 尖的 高音的
ad	广告
adapt	使适应 使适合 改写 改编
add	加上 增加 合计 补充
addition	加 加法 附加物
additional	附加的 另外的
address	地址 讲话 向…讲话 写姓名地址
adequate	足够的 充分的
adjective	形容词 形容词性的
adjust	调整 校准 调整 适应于
administration	管理 经营 管理部门 执行 施政
admire	羡慕 赞美 钦佩
admission	允许进入 承认 入场费 入会费 入场券
admit	承认 接纳 招收
adopt	采用 采取态度等 选定 收养
adult	成年人的 已成熟的 成年人
advance	前进 进展 促进 提高 发展 前进
advanced	先进的 高级的
advantage	优点 有利条件 利益 好处
adventure	冒险 冒险活动 奇遇
adverb	副词
advertise	做广告
advertisement	广告 做广告 登广告
advice	劝告 意见 建议
advisable	明智的 可取的
advise	劝告 建议 警告 忠告
advocate	提倡 鼓吹 提倡者 鼓吹者
aeroplane	英飞机
affair	事件 事务 业务 私通
affect	影响 作用 感动 疾病侵袭
affection	慈爱 爱 感情 作用 影响
afford	担负得起 抽得出时间等 提供
afraid	害怕的 畏惧的 恐怕的 担心的
after	在…后 后来
afternoon	下午 午后
afterward	以后 后来
again	又 再 倍
against	逆 紧靠着 与…对照 对比
age	年龄 时代 老年 长时间 使变老
agency	代理权 代办 力量 能动作用 机构
agenda	会议的议程
agent	代理人 代理商 产生作用的人或事物
aggressive	爱寻衅的 侵略的 有进取心的
ago	以前 …前
agree	赞同 适合 一致 商定
agreement	协议 约定 同意 达成协议
agriculture	农业
ahead	在前 向前 在先 预先
aid	帮助 助手 救护 帮助 急救
aim	目的 瞄准 目的在于 把…瞄准
air	大气 空气 态度 神态 通风
aircraft	飞机 飞艇 航空器
airline	飞机的航线 航空公司
airplane	美飞机
airport	飞机场
alarm	惊恐 警报 使…惊恐 向…报警
alcohol	酒精 乙醇 含酒精的饮料
alert	警惕的 警觉的 机灵的
alike	相同的 相像的
alive	活着的 存在的 有活力的 活泼的
all	全部的 整个的 全部 完全 都
alliance	同盟 同盟国 结盟 联姻
allocate	分配 配给
allow	允许 准许 承认 给予 考虑到
allowance	津贴 零用钱
ally	同盟者 伙伴 同类
almost	几乎 差不多
alone	单独的 独自的 仅仅 只 单独地
along	沿着 向前
alongside	在…旁边 和…在一起 在旁边
aloud	大声地 响亮地
alphabet	字母表
already	早已 已经
also	也 同样 而且 还
alter	改变
alternative	两者择一的 供选择的东西 取舍?
although	虽然 即使
altitude	高度 海泼
altogether	完全 总之 总共
aluminium	铝
aluminum	铝
always	总是 一向 始终 永远
amateur	业余的 业余爱好者
amaze	使惊愕
ambassador	大使 特使
ambition	野心 雄心 抱负 志向
ambulance	救护车船、飞机等
amid	在…中 在…当中
among	在…之中 在一群组之中 于…之间
amongst	在…之中三者以上
amount	数量 总数 总计 相当于 等于
amuse	逗乐 使开心 给…提供娱乐
analyse	分析 分解
analysis	分析 分解
analyze	分析 分解
ancestor	祖宗 祖先
anchor	锚 靠山 固定 抛锚 停泊
ancient	古代的 古老的
and	 和 而且 那么 然后 加
anger	怒 愤怒　激怒
angle	角 角度 看问题的角度 观点
angry	发怒的 愤怒的
animal	动物的 兽类的
ankle	踝 踝节部
anniversary	周年 周年纪念
announce	宣布 通告 报告…的来到
annoy	使烦恼 使生气 打扰
annual	每年的 年度的 年刊 年鉴
another	另一个 又 再 另一个 类似的一个
answer	回答 答案 回答 响应 符合 解答
ant	蚁
anticipate	预料 预期
antique	古代的 旧式的 古物 古董
anxiety	挂念 焦虑 渴望
anxious	焦虑的 发愁的 急切的 使人不安的
any	一些 任何的 任何一个 无论哪个
anybody	某人 无论谁 任何人
anyhow	不管怎样说 不管以什么方法 总之
anyone	任何人
anything	无论什么事 任何东西 任何事物
anyway	不管怎样
anywhere	无论哪里 任何地方用于否定、疑问等
apart	相距 相隔 分 离开 除去
apartment	公寓住宅 套间
apologise	道歉
apologize	道歉 认错 辩护 辩解
apology	道歉 认错 辩解 辩护
apparent	明显的 表面上的
appeal	请求 吸引 上诉 呼吁 吸引力 申诉
appear	出现 露出 似乎 好象
appearance	出现 出场 外貌 样子
appetite	食欲 胃口 爱好 嗜好 欲望
applause	鼓掌欢迎 欢呼
apple	苹果
appliance	器具 器械 装置
